,gvkey,predicted_return,trade_date
0,ANDV,0.0383034162223339,2018-06-01
1,CNX,0.048051618039608,2018-06-01
2,COP,0.0383034162223339,2018-06-01
3,CTRA,0.0383034162223339,2018-06-01
4,CVX,0.0391089878976345,2018-06-01
5,DO,0.048051618039608,2018-06-01
6,EC,0.0480518192052841,2018-06-01
7,EOG,0.0383034162223339,2018-06-01
8,FANG,0.048051618039608,2018-06-01
9,FTI,0.0472460463643074,2018-06-01
10,MUR,0.0391091890633106,2018-06-01
11,NBL,0.0391091890633106,2018-06-01
12,PSX,0.0383034162223339,2018-06-01
13,PXD,0.048051618039608,2018-06-01
14,RDC,0.048051618039608,2018-06-01
15,RIG,0.0465607792139053,2018-06-01
16,VLO,0.0383034162223339,2018-06-01
17,WLL,0.0457956232130527,2018-06-01
18,XEC,0.0391091890633106,2018-06-01
19,ANDV,-0.0108716884990581,2018-09-01
20,APA,-0.0108716884990581,2018-09-01
21,CNX,-0.0108716884990581,2018-09-01
22,CVX,-0.0108716884990581,2018-09-01
23,CXO,-0.0108716884990581,2018-09-01
24,EC,-0.0108716884990581,2018-09-01
25,FANG,-0.0108716884990581,2018-09-01
26,FTI,-0.0108716884990581,2018-09-01
27,MPC,-0.0108716884990581,2018-09-01
28,MRO,-0.0108716884990581,2018-09-01
29,PSX,-0.0108716884990581,2018-09-01
30,SUN,-0.0108716884990581,2018-09-01
31,SWN,-0.0108716884990581,2018-09-01
32,VLO,-0.0108716884990581,2018-09-01
33,WLL,-0.0108716884990581,2018-09-01
34,WMB,-0.0108716884990581,2018-09-01
35,XOM,-0.0108716884990581,2018-09-01
36,APA,0.0548134706914424,2018-12-01
37,CHK,0.069684587419033,2018-12-01
38,CTRA,0.0548134706914424,2018-12-01
39,EP,0.0554461553692817,2018-12-01
40,EQT,0.0589424148201942,2018-12-01
41,FTI,0.0548134706914424,2018-12-01
42,GTE,0.0561517886817455,2018-12-01
43,HES,0.0589424148201942,2018-12-01
44,KMI,0.0548134706914424,2018-12-01
45,MPC,0.052036914974451,2018-12-01
46,MRO,0.0561517886817455,2018-12-01
47,NOV,0.0544022694230079,2018-12-01
48,RRC,0.0561517886817455,2018-12-01
49,SLB,0.0548134706914424,2018-12-01
50,VLO,0.052036914974451,2018-12-01
51,AR,0.0550123063528284,2019-03-01
52,ASC,0.0576070086358106,2019-03-01
53,DO,0.063215913735892,2019-03-01
54,FRO,0.0671178080299218,2019-03-01
55,HP,0.0596631623020579,2019-03-01
56,KMI,0.0573160536600654,2019-03-01
57,MRO,0.0538659718358701,2019-03-01
58,NE,0.071778884559668,2019-03-01
59,QEP,0.0595241820510697,2019-03-01
60,RDC,0.0582654489295187,2019-03-01
61,RIG,0.0729222329972038,2019-03-01
62,RRC,0.0556592543964546,2019-03-01
63,WPX,0.0628030601067782,2019-03-01
64,ASC,-0.0383057099619339,2019-06-01
65,CVX,-0.0445028982982648,2019-06-01
66,FRO,-0.0258487642289519,2019-06-01
67,GTE,-0.0378643017660685,2019-06-01
68,MPC,-0.0457307828750345,2019-06-01
69,MRO,-0.0410672819416329,2019-06-01
70,NE,-0.0440054903658397,2019-06-01
71,PSX,-0.0312642955886877,2019-06-01
72,QEP,-0.0387144427972214,2019-06-01
73,RRC,-0.0392340079796506,2019-06-01
74,SWN,-0.0223599725408966,2019-06-01
75,VLO,-0.0326543427608404,2019-06-01
76,XOM,-0.0423097566626059,2019-06-01
77,ASC,-0.0013707592312814,2019-09-01
78,CNX,-0.007309892050562,2019-09-01
79,DO,0.0108123322821019,2019-09-01
80,DVN,0.0104335138438811,2019-09-01
81,EC,0.0099930825271391,2019-09-01
82,GTE,-0.0055971727291842,2019-09-01
83,MRO,0.0053388484219501,2019-09-01
84,NBR,-0.0037959343323181,2019-09-01
85,NE,0.0187807509315729,2019-09-01
86,QEP,-0.0017927491964806,2019-09-01
87,RIG,0.0010330438751259,2019-09-01
88,SWN,-0.0024887600307352,2019-09-01
89,WPX,0.0152165440310413,2019-09-01
